"Insurance (Percent uninsured in demographic group, people at or below 138% of poverty)"
Wisconsin by County
"All Races (includes Hispanic/Latino), Both Sexes, Ages 18-64, 2023"
Sorted by Value

County,FIPS,Uninsured (Percent),Uninsured (People),Rank within US (of 3133 counties)
"United States",00000,20.2,6522332,"N/A"
"Wisconsin",55000,13.2,65067,"12 of 51"
"Clark County",55019,23.5,722,"2,243"
"Vernon County",55123,17.9,480,"1,577"
"Trempealeau County",55121,17.3,410,"1,520"
"Lafayette County",55065,17.2,256,"1,505"
"Taylor County",55119,16.6,268,"1,436"
"Walworth County",55127,16.4,1383,"1,416"
"Milwaukee County",55079,15.3,17729,"1,275"
"Racine County",55101,15.0,2452,"1,231"
"Green Lake County",55047,14.8,246,"1,192"
"Pepin County",55091,14.8,79,"1,192"
"Kenosha County",55059,14.2,2052,"1,063"
"Monroe County",55081,14.2,642,"1,063"
"Sheboygan County",55117,14.1,1112,"1,036"
"Grant County",55043,14.0,787,"1,012"
"Waushara County",55137,14.0,289,"1,012"
"Marathon County",55073,13.7,1373,"938"
"St. Croix County",55109,13.7,612,"938"
"Calumet County",55015,13.6,351,"919"
"Portage County",55097,13.6,878,"919"
"Door County",55029,13.5,274,"891"
"Florence County",55037,13.3,50,"857"
"Brown County",55009,13.2,2802,"837"
"Waupaca County",55135,13.2,530,"837"
"Kewaunee County",55061,13.0,166,"791"
"Ozaukee County",55089,13.0,452,"791"
"Richland County",55103,13.0,213,"791"
"Barron County",55005,12.9,539,"773"
"Polk County",55095,12.9,430,"773"
"Columbia County",55021,12.8,504,"755"
"Jefferson County",55055,12.6,703,"714"
"Sauk County",55111,12.6,629,"714"
"Chippewa County",55017,12.4,639,"666"
"Dodge County",55027,12.4,741,"666"
"Outagamie County",55087,12.4,1415,"666"
"Lincoln County",55069,12.3,282,"649"
"Rusk County",55107,12.3,183,"649"
"Washburn County",55129,12.3,197,"649"
"Waukesha County",55133,12.3,1866,"649"
"Buffalo County",55011,12.2,131,"622"
"Marquette County",55077,12.2,171,"622"
"Winnebago County",55139,12.2,1804,"622"
"Eau Claire County",55035,12.1,1272,"588"
"Manitowoc County",55071,12.1,736,"588"
"Price County",55099,12.1,166,"588"
"Iowa County",55049,11.8,188,"512"
"Langlade County",55067,11.8,239,"512"
"Rock County",55105,11.8,1609,"512"
"Oconto County",55083,11.7,334,"488"
"Crawford County",55023,11.6,181,"459"
"Fond du Lac County",55039,11.6,831,"459"
"Green County",55045,11.5,273,"429"
"Juneau County",55057,11.5,318,"429"
"Washington County",55131,11.4,708,"412"
"Adams County",55001,11.3,232,"391"
"Dane County",55025,11.2,5797,"372"
"Jackson County",55053,11.2,229,"372"
"Dunn County",55033,11.1,504,"338"
"Iron County",55051,11.1,60,"338"
"Sawyer County",55113,11.1,202,"338"
"Oneida County",55085,10.9,322,"299"
"Burnett County",55013,10.8,162,"280"
"Douglas County",55031,10.6,420,"247"
"Shawano County",55115,10.6,364,"247"
"Pierce County",55093,10.5,299,"240"
"Forest County",55041,10.4,99,"215"
"Bayfield County",55007,10.3,142,"192"
"Marinette County",55075,10.0,379,"155"
"La Crosse County",55063,9.9,1150,"141"
"Wood County",55141,9.9,634,"141"
"Vilas County",55125,9.6,190,"104"
"Ashland County",55003,8.8,156,"52"
"Menominee County",55078,5.4,29,"3"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 4/26/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
The race categorization for this statistic does not include individuals who responded with two more races.
"For more information about Insurance (Percent uninsured in demographic group, people at or below 138% of poverty), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#insurance."
