,STATEFP,COUNTYFP,County,STNAME,POPULATION,LATITUDE,LONGITUDE,nearest_hospital_km,fips
0,55,1,Adams,Wisconsin,20654,43.946194,-89.78312,0.0006901291479611158,55001
1,55,3,Ashland,Wisconsin,16027,46.475919,-90.785419,0.0020353047074982587,55003
2,55,5,Barron,Wisconsin,46711,45.437002,-91.815142,0.0007579428171291011,55005
3,55,7,Bayfield,Wisconsin,16220,46.594106,-91.104441,0.0026290372757928194,55007
4,55,9,Brown,Wisconsin,268740,44.497155,-88.034145,0.00028127761065735695,55009
5,55,11,Buffalo,Wisconsin,13317,44.380158,-91.74144,0.005015103382852398,55011
6,55,13,Burnett,Wisconsin,16526,45.836891,-92.403811,0.0036112649737631815,55013
7,55,15,Calumet,Wisconsin,52442,44.152617,-88.262936,0.0024180995091960325,55015
8,55,17,Chippewa,Wisconsin,66297,44.984928,-91.328087,0.0029588400133825766,55017
9,55,19,Clark,Wisconsin,34659,44.78814,-90.550998,0.004080987700279788,55019
10,55,21,Columbia,Wisconsin,58490,43.460151,-89.366154,0.002254620932261525,55021
11,55,23,Crawford,Wisconsin,16113,43.165384,-91.005118,0.002862013413490534,55023
12,55,25,Dane,Wisconsin,561504,43.07564,-89.395501,0.00020381370870597713,55025
13,55,27,Dodge,Wisconsin,89396,43.435904,-88.713062,0.0014468990120450832,55027
14,55,29,Door,Wisconsin,30066,44.915074,-87.335769,0.0014552610601450693,55029
15,55,31,Douglas,Wisconsin,44295,46.628582,-92.01483,0.0015935366010039512,55031
16,55,33,Dunn,Wisconsin,45440,44.914658,-91.892915,0.0005572004016321236,55033
17,55,35,Eau Claire,Wisconsin,105710,44.790208,-91.454792,0.0004405263765550345,55035
18,55,37,Florence,Wisconsin,4558,45.853651,-88.244316,0.012305944318759948,55037
19,55,39,Fond du Lac,Wisconsin,104154,43.765547,-88.487004,0.0007372781925470644,55039
20,55,41,Forest,Wisconsin,9179,45.563411,-88.812092,0.006998970264069127,55041
21,55,43,Grant,Wisconsin,51938,42.827213,-90.612643,0.001264679209020345,55043
22,55,45,Green,Wisconsin,37093,42.673838,-89.575106,0.001371081378948541,55045
23,55,47,Green Lake,Wisconsin,19018,43.845067,-89.014675,0.00248289656032325,55047
24,55,49,Iowa,Wisconsin,23709,42.981998,-90.12223,0.0005485597544423373,55049
25,55,51,Iron,Wisconsin,6137,46.343183,-90.189954,0.007815001915311365,55051
26,55,53,Jackson,Wisconsin,21145,44.320677,-90.903038,0.000672577146648649,55053
27,55,55,Jefferson,Wisconsin,84900,43.040342,-88.785594,0.001974810282609793,55055
28,55,57,Juneau,Wisconsin,26718,43.843115,-90.09764,0.0010862539286295555,55057
29,55,59,Kenosha,Wisconsin,169151,42.572393,-87.924047,0.00015001465263699126,55059
30,55,61,Kewaunee,Wisconsin,20563,44.527818,-87.591703,0.004440567775696096,55061
31,55,63,La Crosse,Wisconsin,120784,43.861018,-91.208863,0.0010711733261120967,55063
32,55,65,Lafayette,Wisconsin,16611,42.663323,-90.140565,0.0005320095426769999,55065
33,55,67,Langlade,Wisconsin,19491,45.185054,-89.104985,0.0008638065541026946,55067
34,55,69,Lincoln,Wisconsin,28415,45.288548,-89.686454,0.0019727154229980783,55069
35,55,71,Manitowoc,Wisconsin,81359,44.10361,-87.724344,0.0006164290079475637,55071
36,55,73,Marathon,Wisconsin,138013,44.907455,-89.707823,0.0010392375156947449,55073
37,55,75,Marinette,Wisconsin,41872,45.219097,-87.848007,0.003578078846756108,55075
38,55,77,Marquette,Wisconsin,15592,43.810948,-89.407897,0.0043252362097074394,55077
39,55,78,Menominee,Wisconsin,4255,44.912634,-88.635691,0.0026767473895128392,55078
40,55,79,Milwaukee,Wisconsin,939489,43.031416,-87.959526,0.0002786902278810758,55079
41,55,81,Monroe,Wisconsin,46274,43.942578,-90.644211,0.001772979067711257,55081
42,55,83,Oconto,Wisconsin,38965,44.895367,-88.146318,0.0005725537965044398,55083
43,55,85,Oneida,Wisconsin,37845,45.71099,-89.493946,0.001918308553306385,55085
44,55,87,Outagamie,Wisconsin,190705,44.308666,-88.401368,0.0004894853634620217,55087
45,55,89,Ozaukee,Wisconsin,91503,43.31881,-87.950093,0.00029236769019347375,55089
46,55,91,Pepin,Wisconsin,7318,44.591768,-91.987424,0.0005900264087496441,55091
47,55,93,Pierce,Wisconsin,42212,44.77335,-92.547747,0.0017312357353076152,55093
48,55,95,Polk,Wisconsin,44977,45.404946,-92.481404,0.0019787343202925774,55095
49,55,97,Portage,Wisconsin,70377,44.498026,-89.526076,0.00011937551989309688,55097
50,55,99,Price,Wisconsin,14054,45.724359,-90.39805,0.0036378871655726617,55099
51,55,101,Racine,Wisconsin,197727,42.735037,-87.928046,0.00032953878047461374,55101
52,55,103,Richland,Wisconsin,17304,43.350268,-90.390394,0.00022282454310965094,55103
53,55,105,Rock,Wisconsin,163687,42.65481,-89.037935,0.000572123984028217,55105
54,55,107,Rusk,Wisconsin,14188,45.44497,-91.130594,0.00030418508921385327,55107
55,55,109,St. Croix,Wisconsin,93536,45.017968,-92.580626,0.0017712992286878638,55109
56,55,111,Sauk,Wisconsin,65763,43.449264,-89.868041,0.001834932815394758,55111
57,55,113,Sawyer,Wisconsin,18074,45.938054,-91.345247,0.002401196223407341,55113
58,55,115,Shawano,Wisconsin,40881,44.786908,-88.681002,0.0010293432221516949,55115
59,55,117,Sheboygan,Wisconsin,118034,43.733622,-87.819076,0.0010362690658531964,55117
60,55,119,Taylor,Wisconsin,19913,45.172334,-90.408593,0.0009150724062343157,55119
61,55,121,Trempealeau,Wisconsin,30760,44.287418,-91.363458,0.0014545912263949092,55121
62,55,123,Vernon,Wisconsin,30714,43.605271,-90.835696,0.0011477371229507184,55123
63,55,125,Vilas,Wisconsin,23047,45.988218,-89.496963,0.002989771763552652,55125
64,55,127,Walworth,Wisconsin,106478,42.662934,-88.540338,0.0005661900326725774,55127
65,55,129,Washburn,Wisconsin,16623,45.848159,-91.835392,0.0008457141404971871,55129
66,55,131,Washington,Wisconsin,136761,43.345574,-88.216407,0.00032296135940915015,55131
67,55,133,Waukesha,Wisconsin,406978,43.03596,-88.236186,0.00044145780322952377,55133
68,55,135,Waupaca,Wisconsin,51812,44.432697,-88.937028,0.0023121356544200606,55135
69,55,137,Waushara,Wisconsin,24520,44.101477,-89.225784,0.0014538466779356778,55137
70,55,139,Winnebago,Wisconsin,171730,44.101514,-88.540906,0.0014671800999326986,55139
71,55,141,Wood,Wisconsin,74207,44.478457,-89.962546,0.0023623210982665565,55141
